booking_id,booking_date,checkin_date,checkout_date,city,hotel_type,room_type,length_of_stay,adults,children,customer_segment,booking_month,checkin_month,checkin_day_of_week,is_weekend_checkin,is_peak_season,is_special_event,lead_time_days,occupancy_rate,base_adr,competitor_adr,dynamic_adr,total_revenue,price_change_from_base
HB000060,2023-09-30,2023-11-09,2023-11-11,Hyderabad,Luxury,Standard,2,3,0,Business,9,11,3,0,1,0,40,0.928,5500,10528.19,18293.33,36586.66,232.61
HB000061,2022-12-16,2023-03-27,2023-04-02,Mumbai,Luxury,Deluxe,6,4,0,Group,12,3,0,0,0,0,101,0.732,7500,14748.31,17732.45,106394.68,136.43
HB000062,2024-03-31,2024-09-17,2024-09-21,Kolkata,Boutique,Executive,4,1,2,Business,3,9,1,0,0,0,170,0.726,4800,6874.58,9537.56,38150.22,98.7
HB000063,2024-09-08,2024-11-03,2024-11-06,Mumbai,Boutique,Executive,3,4,0,Business,9,11,6,1,1,0,56,0.95,7500,10846.98,34120.39,102361.18,354.94
HB000064,2023-05-01,2023-05-18,2023-05-25,Kolkata,Budget,Suite,7,1,2,Business,5,5,3,0,1,0,17,0.95,4800,2759.99,10562.18,73935.26,120.05
HB000065,2024-08-03,2024-11-02,2024-11-05,Delhi,Luxury,Standard,3,3,0,Leisure,8,11,5,1,1,0,91,0.891,6800,13255.79,25661.43,76984.28,277.37
HB000066,2023-04-06,2023-04-09,2023-04-15,Delhi,Business,Standard,6,1,1,Business,4,4,6,1,1,0,3,0.95,6800,6283.14,18691.34,112148.05,174.87
HB000067,2024-08-31,2024-11-25,2024-11-29,Goa,Luxury,Standard,4,2,1,Leisure,8,11,0,0,1,0,86,0.95,8500,15840.4,26896.41,107585.66,216.43
HB000068,2022-09-15,2023-02-07,2023-02-10,Goa,Boutique,Executive,3,4,0,Leisure,9,2,1,0,0,0,145,0.811,8500,11242.27,20340.04,61020.11,139.29
HB000069,2024-02-22,2024-07-21,2024-07-23,Hyderabad,Budget,Standard,2,2,0,Group,2,7,6,1,0,0,150,0.71,5500,3615.02,3758.87,7517.75,-31.66
HB000070,2024-07-04,2024-08-01,2024-08-07,Delhi,Resort,Executive,6,4,0,Business,7,8,3,0,0,0,28,0.877,6800,11161.7,23857.92,143147.54,250.85
HB000071,2023-05-22,2023-09-21,2023-09-22,Delhi,Business,Executive,1,1,0,Leisure,5,9,3,0,0,0,122,0.844,6800,6169.12,12172.19,12172.19,79.0
HB000072,2023-07-22,2024-01-08,2024-01-13,Bangalore,Luxury,Suite,5,4,0,Group,7,1,0,0,1,0,170,0.92,6200,12789.67,39871.0,199355.01,543.08
HB000073,2023-02-10,2023-06-03,2023-06-07,Goa,Boutique,Standard,4,3,0,Business,2,6,5,1,0,0,113,0.707,8500,11948.11,12710.39,50841.55,49.53
HB000074,2024-06-13,2024-11-21,2024-11-24,Delhi,Resort,Suite,3,1,1,Business,6,11,3,0,1,0,161,0.95,6800,12136.81,41580.88,124742.63,511.48
HB000075,2023-06-01,2023-11-09,2023-11-14,Delhi,Resort,Standard,5,3,0,Business,6,11,3,0,1,0,161,0.923,6800,12037.83,19035.83,95179.13,179.94
HB000076,2023-01-19,2023-04-14,2023-04-20,Bangalore,Resort,Executive,6,4,0,Leisure,1,4,4,0,1,0,85,0.95,6200,11077.03,27992.71,167956.26,351.5
HB000077,2023-11-02,2023-12-22,2023-12-23,Bangalore,Luxury,Standard,1,4,0,Business,11,12,4,0,1,0,50,0.881,6200,13485.19,19597.65,19597.65,216.09
HB000078,2024-06-24,2024-06-29,2024-07-04,Goa,Luxury,Deluxe,5,3,0,Leisure,6,6,5,1,0,0,5,0.705,8500,16152.22,30778.45,153892.26,262.1
HB000079,2023-01-25,2023-03-19,2023-03-21,Chennai,Budget,Standard,2,2,0,Leisure,1,3,6,1,0,0,53,0.822,5800,3189.18,4485.37,8970.74,-22.67
HB000080,2024-08-24,2024-12-18,2024-12-25,Goa,Resort,Suite,7,3,0,Leisure,8,12,2,0,1,0,116,0.95,8500,16664.46,48583.64,340085.51,471.57
HB000081,2024-05-04,2024-08-19,2024-08-22,Delhi,Boutique,Suite,3,2,0,Leisure,5,8,0,0,0,0,107,0.797,6800,8698.86,19420.14,58260.42,185.59
HB000082,2023-11-29,2024-02-18,2024-02-21,Hyderabad,Luxury,Deluxe,3,1,0,Group,11,2,6,1,0,0,81,0.791,5500,10890.11,17711.26,53133.77,222.02
HB000083,2023-09-29,2023-10-04,2023-10-11,Kolkata,Budget,Suite,7,4,0,Leisure,9,10,2,0,1,0,5,0.927,4800,3037.21,12090.61,84634.29,151.89
HB000084,2023-09-01,2023-10-23,2023-10-24,Pune,Budget,Executive,1,4,0,Business,9,10,0,0,1,0,52,0.95,5200,3314.72,8733.57,8733.57,67.95
HB000085,2024-03-15,2024-04-25,2024-05-01,Kolkata,Boutique,Suite,6,4,0,Business,3,4,3,0,1,0,41,0.95,4800,6863.53,23134.3,138805.77,381.96
HB000086,2024-02-22,2024-04-30,2024-05-02,Kolkata,Business,Suite,2,4,0,Leisure,2,4,1,0,1,0,68,0.904,4800,4577.37,16408.78,32817.57,241.85
HB000087,2022-11-05,2023-04-22,2023-04-28,Bangalore,Business,Standard,6,1,2,Leisure,11,4,5,1,1,0,168,0.95,6200,6750.76,12379.41,74276.43,99.67
HB000088,2023-12-16,2024-03-09,2024-03-13,Pune,Budget,Standard,4,2,2,Leisure,12,3,5,1,0,1,84,0.692,5200,3070.97,4207.4,16829.62,-19.09
HB000089,2022-08-26,2023-01-18,2023-01-22,Mumbai,Business,Executive,4,1,0,Group,8,1,2,0,1,0,145,0.95,7500,8247.43,19940.15,79760.61,165.87
HB000090,2023-02-18,2023-05-31,2023-06-05,Kolkata,Boutique,Deluxe,5,3,0,Leisure,2,5,2,0,1,0,102,0.887,4800,7173.07,13342.74,66713.7,177.97
HB000091,2024-05-28,2024-10-28,2024-11-01,Delhi,Business,Deluxe,4,1,0,Business,5,10,0,0,1,0,153,0.904,6800,6701.28,13776.43,55105.7,102.59
HB000092,2024-06-08,2024-10-07,2024-10-08,Goa,Resort,Deluxe,1,1,2,Group,6,10,0,0,1,0,121,0.921,8500,16683.28,32928.49,32928.49,287.39
HB000093,2022-12-26,2023-02-22,2023-02-24,Delhi,Resort,Executive,2,3,0,Leisure,12,2,2,0,0,0,58,0.794,6800,12562.65,20795.41,41590.81,205.81
HB000094,2024-06-10,2024-12-02,2024-12-05,Bangalore,Boutique,Suite,3,3,0,Business,6,12,0,0,1,0,175,0.917,6200,7852.32,29184.47,87553.4,370.72
HB000095,2023-11-13,2024-04-10,2024-04-12,Chennai,Resort,Executive,2,2,0,Leisure,11,4,2,0,1,1,149,0.891,5800,10957.02,35965.52,71931.05,520.1
HB000096,2023-07-01,2023-11-01,2023-11-07,Delhi,Budget,Executive,6,4,0,Leisure,7,11,2,0,1,0,123,0.95,6800,3757.92,11091.96,66551.76,63.12
HB000097,2022-11-18,2023-01-02,2023-01-06,Mumbai,Boutique,Executive,4,1,1,Leisure,11,1,0,0,1,0,45,0.95,7500,9837.64,26573.13,106292.53,254.31
HB000098,2024-03-01,2024-06-21,2024-06-23,Goa,Budget,Standard,2,1,2,Group,3,6,4,0,0,0,112,0.696,8500,5465.18,4339.38,8678.76,-48.95
HB000099,2024-04-21,2024-05-23,2024-05-29,Mumbai,Resort,Deluxe,6,4,0,Business,4,5,3,0,1,0,32,0.95,7500,12217.0,27598.65,165591.91,267.98
HB000100,2024-01-09,2024-06-04,2024-06-09,Mumbai,Resort,Executive,5,3,0,Business,1,6,1,0,0,0,147,0.698,7500,12942.97,18525.16,92625.78,147.0
HB000101,2024-07-22,2024-12-19,2024-12-20,Kolkata,Budget,Standard,1,1,2,Group,7,12,3,0,1,0,150,0.95,4800,2990.33,4935.6,4935.6,2.83
HB000102,2022-11-29,2023-02-03,2023-02-10,Mumbai,Boutique,Suite,7,3,0,Business,11,2,4,0,0,0,66,0.854,7500,10193.87,21598.41,151188.85,187.98
HB000103,2024-05-26,2024-10-07,2024-10-14,Bangalore,Business,Deluxe,7,3,0,Leisure,5,10,0,0,1,0,134,0.877,6200,6421.73,12757.59,89303.1,105.77
HB000104,2024-07-30,2024-12-11,2024-12-12,Mumbai,Luxury,Executive,1,1,0,Business,7,12,2,0,1,0,134,0.95,7500,15277.11,43439.58,43439.58,479.19
HB000105,2023-04-28,2023-08-30,2023-09-01,Delhi,Budget,Suite,2,1,2,Leisure,4,8,2,0,0,0,124,0.729,6800,3896.13,7872.51,15745.02,15.77
HB000106,2023-10-19,2023-10-28,2023-10-30,Hyderabad,Luxury,Suite,2,3,0,Group,10,10,5,1,1,0,9,0.902,5500,11055.64,50458.41,100916.83,817.43
HB000107,2024-08-26,2024-12-28,2025-01-03,Goa,Business,Executive,6,2,2,Business,8,12,5,1,1,0,124,0.95,8500,7716.52,26531.66,159189.98,212.14
HB000108,2024-11-28,2024-12-02,2024-12-04,Kolkata,Luxury,Executive,2,4,0,Business,11,12,0,0,1,0,4,0.903,4800,9158.57,34643.34,69286.68,621.74
HB000109,2023-05-02,2023-09-20,2023-09-25,Bangalore,Boutique,Deluxe,5,2,2,Group,5,9,2,0,0,0,141,0.75,6200,9107.52,10459.63,52298.16,68.7
HB000110,2024-04-22,2024-05-18,2024-05-21,Chennai,Luxury,Standard,3,1,2,Leisure,4,5,5,1,1,0,26,0.95,5800,11431.04,26271.99,78815.97,352.97
HB000111,2023-09-11,2023-10-29,2023-10-30,Delhi,Boutique,Suite,1,1,1,Business,9,10,6,1,1,0,48,0.938,6800,9430.95,39566.03,39566.03,481.85
HB000112,2023-09-26,2024-01-23,2024-01-26,Pune,Resort,Suite,3,1,1,Business,9,1,1,0,1,0,119,0.877,5200,10061.55,31192.09,93576.27,499.85
HB000113,2022-10-17,2023-01-06,2023-01-07,Bangalore,Resort,Standard,1,1,0,Leisure,10,1,4,0,1,0,81,0.918,6200,11234.13,18101.08,18101.08,191.95
HB000114,2023-03-18,2023-05-22,2023-05-29,Kolkata,Luxury,Standard,7,3,0,Leisure,3,5,0,0,1,0,65,0.95,4800,9936.97,16078.28,112547.94,234.96
HB000115,2023-07-07,2023-08-06,2023-08-11,Delhi,Business,Standard,5,1,2,Business,7,8,6,1,0,0,30,0.755,6800,6581.29,8391.87,41959.34,23.41
HB000116,2023-08-01,2023-12-23,2023-12-29,Bangalore,Business,Suite,6,2,1,Leisure,8,12,5,1,1,0,144,0.95,6200,6042.73,25071.79,150430.72,304.38
HB000117,2024-03-09,2024-07-12,2024-07-19,Kolkata,Luxury,Executive,7,4,0,Business,3,7,4,0,0,0,125,0.662,4800,8878.32,12384.74,86693.2,158.02
HB000118,2023-08-22,2023-12-21,2023-12-27,Goa,Luxury,Deluxe,6,4,0,Leisure,8,12,3,0,1,0,121,0.95,8500,15474.14,35031.16,210186.96,312.13
HB000119,2023-08-07,2023-08-10,2023-08-16,Mumbai,Budget,Suite,6,3,0,Leisure,8,8,3,0,0,0,3,0.821,7500,4427.85,11755.58,70533.46,56.74
HB000120,2022-10-04,2023-02-02,2023-02-04,Chennai,Budget,Suite,2,1,0,Business,10,2,3,0,0,0,121,0.706,5800,3297.35,6423.18,12846.36,10.74
HB000121,2024-01-19,2024-05-25,2024-06-01,Bangalore,Luxury,Executive,7,4,0,Business,1,5,5,1,1,0,127,0.95,6200,13563.82,39321.48,275250.39,534.22
HB000122,2023-07-14,2023-11-07,2023-11-14,Hyderabad,Luxury,Executive,7,3,0,Leisure,7,11,1,0,1,1,116,0.86,5500,11913.42,32829.23,229804.6,496.9
HB000123,2023-03-25,2023-08-05,2023-08-07,Delhi,Budget,Suite,2,1,1,Business,3,8,5,1,0,0,133,0.685,6800,3695.4,8189.94,16379.89,20.44
HB000124,2023-06-01,2023-10-06,2023-10-08,Kolkata,Resort,Executive,2,3,0,Leisure,6,10,4,0,1,0,127,0.944,4800,8210.42,23001.75,46003.5,379.2
HB000125,2023-10-30,2024-02-29,2024-03-04,Chennai,Resort,Suite,4,3,0,Leisure,10,2,3,0,0,0,122,0.673,5800,10680.88,16693.05,66772.21,187.81
HB000126,2024-02-12,2024-04-18,2024-04-22,Mumbai,Luxury,Executive,4,1,2,Leisure,2,4,3,0,1,1,66,0.922,7500,13550.59,47861.54,191446.15,538.15
HB000127,2023-09-13,2023-11-10,2023-11-14,Chennai,Budget,Deluxe,4,2,2,Business,9,11,4,0,1,0,58,0.882,5800,3382.85,6914.2,27656.78,19.21
HB000128,2024-02-02,2024-06-16,2024-06-18,Goa,Boutique,Suite,2,1,2,Leisure,2,6,6,1,0,0,135,0.746,8500,12234.2,27289.89,54579.78,221.06
HB000129,2024-01-25,2024-02-05,2024-02-11,Pune,Budget,Suite,6,1,1,Leisure,1,2,0,0,0,0,11,0.661,5200,3124.5,5469.48,32816.89,5.18
HB000130,2024-01-13,2024-05-01,2024-05-03,Pune,Business,Standard,2,2,0,Leisure,1,5,2,0,1,0,109,0.915,5200,4860.69,8643.49,17286.97,66.22
HB000131,2023-08-12,2023-09-04,2023-09-09,Hyderabad,Luxury,Executive,5,1,2,Leisure,8,9,0,0,0,0,23,0.706,5500,11905.75,16574.87,82874.36,201.36
HB000132,2023-07-09,2023-11-04,2023-11-05,Kolkata,Boutique,Suite,1,3,0,Leisure,7,11,5,1,1,0,118,0.95,4800,6333.97,26858.05,26858.05,459.54
HB000133,2022-11-07,2023-02-05,2023-02-08,Pune,Business,Suite,3,2,2,Business,11,2,6,1,0,0,90,0.694,5200,4992.15,11259.04,33777.13,116.52
HB000134,2023-05-16,2023-08-01,2023-08-06,Mumbai,Resort,Standard,5,3,0,Business,5,8,1,0,0,0,77,0.693,7500,13804.4,11099.66,55498.32,48.0
HB000135,2023-01-31,2023-04-22,2023-04-27,Kolkata,Business,Executive,5,4,0,Leisure,1,4,5,1,1,0,81,0.95,4800,4533.12,14663.33,73316.66,205.49
HB000136,2023-04-21,2023-09-29,2023-10-06,Pune,Business,Standard,7,4,0,Leisure,4,9,4,0,0,0,161,0.826,5200,4706.11,5357.33,37501.29,3.03
HB000137,2023-11-22,2024-02-10,2024-02-13,Chennai,Luxury,Suite,3,1,1,Business,11,2,5,1,0,0,80,0.85,5800,11290.77,31146.02,93438.06,437.0
HB000138,2024-01-20,2024-03-11,2024-03-13,Delhi,Budget,Deluxe,2,2,2,Group,1,3,0,0,0,0,51,0.842,6800,4158.2,6018.31,12036.62,-11.5
HB000139,2024-04-11,2024-04-17,2024-04-23,Bangalore,Resort,Standard,6,1,0,Leisure,4,4,2,0,1,1,6,0.95,6200,10214.15,33234.73,199408.38,436.04
HB000140,2023-09-08,2023-12-03,2023-12-06,Hyderabad,Boutique,Standard,3,4,0,Leisure,9,12,6,1,1,0,86,0.95,5500,8379.98,15902.64,47707.92,189.14
HB000141,2023-12-11,2024-02-21,2024-02-24,Delhi,Resort,Suite,3,3,0,Business,12,2,2,0,0,0,72,0.876,6800,11941.24,29079.23,87237.68,327.64
HB000142,2023-01-08,2023-01-18,2023-01-23,Bangalore,Luxury,Standard,5,2,1,Business,1,1,2,0,1,0,10,0.915,6200,13181.75,21605.64,108028.2,248.48
HB000143,2023-06-06,2023-11-13,2023-11-18,Bangalore,Resort,Standard,5,2,2,Group,6,11,0,0,1,0,160,0.95,6200,10501.51,17745.89,88729.45,186.22
HB000144,2023-11-27,2024-03-03,2024-03-10,Chennai,Luxury,Executive,7,2,2,Leisure,11,3,6,1,0,0,97,0.701,5800,12668.64,18482.17,129375.18,218.66
HB000145,2023-08-28,2024-01-04,2024-01-06,Kolkata,Luxury,Executive,2,1,0,Leisure,8,1,3,0,1,0,129,0.95,4800,8934.04,27471.6,54943.21,472.33
HB000146,2022-10-22,2023-02-26,2023-03-05,Chennai,Boutique,Deluxe,7,2,0,Group,10,2,6,1,0,0,127,0.676,5800,7704.43,10348.91,72442.4,78.43
HB000147,2022-10-30,2023-03-11,2023-03-16,Delhi,Budget,Suite,5,2,0,Leisure,10,3,5,1,0,0,132,0.706,6800,3853.68,8110.43,40552.14,19.27
HB000148,2023-08-06,2023-09-15,2023-09-16,Kolkata,Business,Deluxe,1,3,0,Leisure,8,9,4,0,0,0,40,0.794,4800,4923.58,6464.17,6464.17,34.67
HB000149,2023-04-06,2023-07-08,2023-07-10,Hyderabad,Business,Executive,2,4,0,Business,4,7,5,1,0,0,93,0.835,5500,5244.81,10922.61,21845.22,98.59
HB000150,2023-03-02,2023-08-17,2023-08-19,Delhi,Boutique,Executive,2,1,2,Leisure,3,8,3,0,0,0,168,0.733,6800,9777.58,14561.81,29123.62,114.14
HB000151,2024-04-07,2024-09-24,2024-09-30,Hyderabad,Budget,Executive,6,3,0,Business,4,9,1,0,0,0,170,0.681,5500,3041.05,4348.86,26093.16,-20.93
HB000152,2023-08-21,2023-09-12,2023-09-18,Chennai,Boutique,Executive,6,3,0,Leisure,8,9,1,0,0,0,22,0.856,5800,8788.91,15188.74,91132.46,161.87
